Brand,Paddle Name,Price,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Engage,Pursuit Pro1 6.0 Hybrid,$259.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15.2,5.5,4.25,7.96,111,23%,6.22,39%,237,High,1961,54.1,13%,35,12%,12%,24,Firepower Soft
Engage,Pursuit Pro1 6.0 Widebody,$259.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15.2,5,4.25,8.06,113,36%,7.6,99%,240,High,1980,54.8,21%,35,12%,16%,33,Firepower Soft
Engage,Pursuit Pro1 Hybrid,$259.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,12.7,5.5,4.25,7.96,101,1%,5.5,5%,220,Very High,2026,53.4,8%,36,41%,24%,23,Firepower Soft
Engage,Pursuit Pro1 Innovation 12.7,$279.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,12.7,5.6,4.25,7.9,120,83%,5.9,18%,244,Very High,2059,56.1,61%,36.6,72%,67%,63,Firepower Balanced
Engage,Pursuit Pro1 Innovation 15.2,$279.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,15.2,5.6,4.25,7.92,125,97%,6.31,48%,252,Very High,2020,55.8,48%,36,41%,44%,54,Firepower Balanced
Engage,Pursuit Pro1 Widebody,$259.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,12.7,5,4.25,8.1,105,3%,6.64,69%,224,Very High,2019,53.2,6%,35.5,23%,14%,16,Firepower Soft
Engage,Pursuit V2,$179.99 ,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,15.2,5.3,4.25,7.85,111,23%,5.94,21%,235,Very High,2119,55.2,29%,36.3,57%,43%,48,Firepower Control+
Enhance,Duo Elongated,$174.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,8.1,119,79%,6.3,46%,243,Very High,2063,56.9,90%,36.7,80%,85%,74,Firepower High
Enhance,Gen 4.5,$175 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.1,8.2,122,89%,6.2,38%,241,Very High,2036,56.3,68%,36.3,57%,63%,63,Firepower Balanced
Enhance,Turbo EPP Elongated,$119.99 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,7.95,117,64%,6.25,42%,241,,,,,,,,,
Enhance,Turbo EPP Hybrid,$119.99 ,2026,USAP,Hybrid,,Raw Texture/Peel Ply,Gen 4,Power,16,6,4.125,8,112,29%,6.45,56%,236,,,,,,,,,
Enhance,Turbo EPP Widebody,$119.99 ,2026,USAP,Widebody,,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,8,109,13%,6.92,85%,233,,,,,,,,,
Enhance,Turbo MPP Elongated,$119.99 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,8,119,79%,6.3,46%,242,,,,,,,,,
F+B,Runout E,$200 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,12.7,5.5,4.1,8,114,44%,5.76,11%,239,Very High,2001,56,57%,35.9,36%,46%,56,Firepower Balanced
F+B,Runout H,$200 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,12.7,5.5,4.1,8.1,113,36%,6.25,42%,237,Very High,2010,55.7,42%,36,41%,41%,53,Firepower Balanced
F+B,Runout S,$200 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,12.7,5.5,4.1,8.18,110,17%,6.65,70%,234,Very High,2018,55.4,34%,36.2,51%,42%,50,Firepower Balanced
Flik,F3 Elongated,$190 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.5,4.125,7.95,118,71%,5.97,23%,245,Very High,2102,56.2,68%,36.7,82%,75%,65,Firepower High
